Key,Fecha_Encuentro,Host_Key,Tipo_Inmueble,Dormitorios,Capacidad,Min_Nights,Precio,Distrito,Barrio,Precio/Capacidad
5258008,2017-08-14,2424097,Inmueble_Completo,2.0,4.0,5.0,42.0,Sur,Poligono_Sur,10.5
22781194,2018-05-05,2847818,Inmueble_Completo,2.0,4.0,1.0,83.0,Sur,Poligono_Sur,20.75
23684005,2018-05-05,175863821,Inmueble_Completo,3.0,3.0,2.0,48.0,Sur,Poligono_Sur,16.0
23367639,2018-05-05,174159048,Inmueble_Completo,2.0,4.0,2.0,50.0,Sur,Poligono_Sur,12.5
1899063,2017-08-14,1379382,Inmueble_Completo,4.0,7.0,2.0,87.0,Sur,Poligono_Sur,12.428571428571429
11312264,2017-08-14,59144851,Inmueble_Completo,2.0,4.0,2.0,90.0,Sur,Poligono_Sur,22.5
16793632,2017-08-14,41479134,Habitacion_Privada,1.0,2.0,1.0,25.0,Sur,Poligono_Sur,12.5
15627315,2017-08-14,100739837,Habitacion_Privada,3.0,6.0,2.0,35.0,Sur,Tabladilla_La_Estrella,5.833333333333333
18108115,2017-08-14,124734053,Habitacion_Privada,1.0,2.0,2.0,33.0,Sur,Tabladilla_La_Estrella,16.5
23707588,2018-05-05,177619087,Inmueble_Completo,2.0,3.0,2.0,58.0,Sur,Tabladilla_La_Estrella,19.333333333333332
5432453,2017-08-14,9002116,Inmueble_Completo,1.0,2.0,2.0,65.0,Sur,Tabladilla_La_Estrella,32.5
13796694,2017-08-14,14395278,Habitacion_Privada,1.0,2.0,2.0,23.0,Sur,Tabladilla_La_Estrella,11.5
21758232,2018-05-05,158518133,Inmueble_Completo,4.0,6.0,2.0,191.0,Sur,Tabladilla_La_Estrella,31.833333333333332
22783620,2018-05-25,157899400,Habitacion_Privada,0.0,1.0,7.0,24.0,Sur,Tabladilla_La_Estrella,24.0
15174590,2017-08-14,96306406,Inmueble_Completo,1.0,4.0,2.0,54.0,Sur,Tabladilla_La_Estrella,13.5
9608197,2017-08-14,14731599,Habitacion_Privada,1.0,2.0,2.0,72.0,Sur,Tabladilla_La_Estrella,36.0
653467,2017-08-14,3286697,Habitacion_Privada,1.0,1.0,2.0,38.0,Sur,Tabladilla_La_Estrella,38.0
23858476,2018-05-05,21922866,Inmueble_Completo,1.0,2.0,2.0,131.0,Sur,Tabladilla_La_Estrella,65.5
4590532,2017-08-14,1379382,Inmueble_Completo,4.0,8.0,3.0,155.0,Sur,Tiro_De_Linea_Santa_Genoveva,19.375
19691280,2017-08-14,138709001,Habitacion_Privada,0.0,2.0,1.0,48.0,Sur,Tiro_De_Linea_Santa_Genoveva,24.0
22419551,2018-05-25,15560487,Inmueble_Completo,3.0,4.0,5.0,95.0,Sur,Tiro_De_Linea_Santa_Genoveva,23.75
22419337,2018-05-05,15560487,Habitacion_Privada,1.0,2.0,1.0,24.0,Sur,Tiro_De_Linea_Santa_Genoveva,12.0
21850971,2018-05-05,138709001,Habitacion_Privada,1.0,2.0,1.0,36.0,Sur,Tiro_De_Linea_Santa_Genoveva,18.0
2226827,2017-08-14,11363811,Habitacion_Privada,3.0,3.0,5.0,17.0,Sur,Tiro_De_Linea_Santa_Genoveva,5.666666666666667
21525303,2018-05-25,103364731,Habitacion_Privada,2.0,2.0,1.0,45.0,Sur,Tiro_De_Linea_Santa_Genoveva,22.5
8718221,2017-08-14,14987400,Inmueble_Completo,3.0,5.0,2.0,66.0,Sur,Tiro_De_Linea_Santa_Genoveva,13.2
6632124,2017-08-14,34715381,Inmueble_Completo,3.0,6.0,2.0,76.0,Sur,Tiro_De_Linea_Santa_Genoveva,12.666666666666666
18915171,2017-08-14,71450954,Habitacion_Privada,1.0,1.0,1.0,33.0,Sur,Tiro_De_Linea_Santa_Genoveva,33.0
21643238,2018-05-25,76499655,Inmueble_Completo,2.0,2.0,1.0,117.0,Sur,Tiro_De_Linea_Santa_Genoveva,58.5
7286665,2017-08-14,37827956,Inmueble_Completo,3.0,6.0,2.0,59.0,Sur,Tiro_De_Linea_Santa_Genoveva,9.833333333333334
12818077,2017-08-14,7080099,Habitacion_Privada,0.0,1.0,2.0,54.0,Sur,Tiro_De_Linea_Santa_Genoveva,54.0
23695776,2018-05-05,121321027,Inmueble_Completo,3.0,4.0,2.0,68.0,Sur,El_Plantinar,17.0
10311291,2018-05-25,823731,Habitacion_Privada,0.0,1.0,1.0,57.0,Sur,El_Plantinar,57.0
24690389,2018-05-05,52679857,Habitacion_Privada,1.0,2.0,1.0,42.0,Sur,El_Plantinar,21.0
12238334,2017-08-14,9083078,Inmueble_Completo,1.0,3.0,1.0,45.0,Sur,El_Plantinar,15.0
3598588,2017-08-14,1379382,Inmueble_Completo,4.0,4.0,3.0,76.0,Sur,El_Plantinar,19.0
8196816,2018-05-05,28361761,Inmueble_Completo,3.0,6.0,2.0,155.0,Sur,El_Plantinar,25.833333333333332
15933044,2017-08-14,74157137,Habitacion_Privada,0.0,2.0,1.0,50.0,Sur,El_Plantinar,25.0
19635225,2017-08-14,42621570,Habitacion_Privada,2.0,2.0,1.0,19.0,Sur,El_Plantinar,9.5
21291294,2018-05-05,154056338,Habitacion_Privada,1.0,2.0,1.0,20.0,Sur,El_Plantinar,10.0
18034032,2017-08-14,124040933,Inmueble_Completo,3.0,4.0,4.0,47.0,Sur,El_Plantinar,11.75
